Mass,HAcceptors,HDonors,LogP,Asphericity,Rg,TPSA,RingCount,NumRotatableBonds,NumHeteroatoms,HOMOm1(eV),HOMO(eV),LUMO(eV),LUMOp1(eV),PrimeState,PrimeExcite(eV),PrimeExcite(osc),DipoleMoment(Debye),SurfaceCharge,ChargeCorrection,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,TDOS1.5,TDOS1.6,TDOS1.7,TDOS1.8,TDOS1.9,TDOS2.0,TDOS2.1,TDOS2.2,TDOS2.3,TDOS2.4,TDOS2.5,TDOS2.6,TDOS2.7,TDOS2.8,TDOS2.9,TDOS3.0,TDOS3.1,TDOS3.2,TDOS3.3,TDOS3.4,TDOS3.5,TDOS3.6,TDOS3.7,TDOS3.8,TDOS3.9,TDOS4.0,TDOS4.1,TDOS4.2,TDOS4.3,TDOS4.4,TDOS4.5,TDOS4.6,TDOS4.7,SDOS2.5,SDOS2.6,SDOS2.7,SDOS2.8,SDOS2.9,SDOS3.0,SDOS3.1,SDOS3.2,SDOS3.3,SDOS3.4,SDOS3.5,SDOS3.6,SDOS3.7,SDOS3.8,SDOS3.9,SDOS4.0,SDOS4.1,SDOS4.2,SDOS4.3,SDOS4.4,SDOS4.5,SDOS4.6,SDOS4.7,SDOS4.8,SDOS4.9,SDOS5.0,SDOS5.1,SDOS5.2,SDOS5.3,SDOS5.4,target_region,T80,is_organic
334.594,2.0,0.0,7.94,0.367472374,4.141424852,0.0,2.0,12.0,2.0,-9.087,-8.2034,0.8586,1.8912,1.0,5.074786554,0.386291755,1.68691,-0.03947586,0.00243,3.385683034,3.898513906,4.43866997,4.616184534,5.703687502,5.850008698,6.11171808,6.188610476,6.315764364,6.339196584,6.467255526,6.607166956,6.695862248,6.890114112,7.120617728,7.12444871,7.201142738,7.294276514,7.600110378,7.752692564,5.074786554,5.814575214,5.920305358,6.014306994,6.291501478,6.587478932,6.659052586,6.80234867,6.891911822,7.142401014,7.317014446,7.322655536,7.652938256,7.782385774,7.858025972,8.006801972,8.008971622,8.124260624,8.24547587,8.323198932,0.386291755,0.075832998,0.018199986,0.09035645,0.013351275,0.007065736,0.034100903,0.001253982,0.032698718,0.042854075,0.009285445,0.013903489,0.003854023,0.00397793,0.175448026,0.046715201,0.256224781,0.023161078,0.121841512,0.007268341,9.92e-20,9.76e-18,7.48e-16,4.47e-14,2.08e-12,7.52e-11,2.12e-09,4.66e-08,7.96e-07,1.06e-05,0.000110011,0.000888726,0.005591486,0.027397929,0.104556577,0.310793294,0.71983914,1.300788587,1.842463758,2.078892197,1.968110598,1.778527735,1.801241895,2.012835253,2.124073105,1.968890473,1.751188418,1.848447266,2.406232661,3.155961918,3.609763932,3.433183113,2.677125436,7.89e-37,4.35e-34,1.87e-31,6.24e-29,1.62e-26,3.29e-24,5.2e-22,6.4e-20,6.13e-18,4.57e-16,2.65e-14,1.2e-12,4.23e-11,1.16e-09,2.48e-08,4.13e-07,5.35e-06,5.4e-05,0.00042461,0.002599661,0.012395674,0.046030947,0.13312393,0.299839702,0.525958103,0.71854907,0.764710761,0.634853898,0.414866354,0.225909485,19,101.13,True
372.47,4.0,0.0,5.919,0.79382461,4.948902733,34.14,5.0,2.0,4.0,-9.4901,-7.8554,-1.2507,-0.1538,2.0,3.60062716,0.897844853,0.88895,-0.02908699,-0.00124,2.532341092,3.0492881,3.193452044,3.274658944,3.392377954,3.595221632,3.732331114,3.816860678,4.153739134,4.180865958,4.362967782,4.446951834,4.57678369,4.91128173,4.945636588,5.057503742,5.512721108,5.688599136,5.704245412,5.74659698,3.54471218,3.60062716,3.799106742,4.27253677,4.428243252,4.53729606,5.02534333,5.155361156,5.317303832,5.559932692,5.585212214,5.840685402,5.858712094,5.96604158,5.979084276,5.986039554,6.066886912,6.108147456,6.234693842,6.317351308,0.000156216,0.897844853,1.47e-05,0.429227094,0.18854753,0.04113216,0.049683429,0.144917725,0.089300013,0.102638667,0.074785949,0.000229286,0.287015904,0.182022265,0.006671081,0.087946936,3.51e-05,0.048011871,0.066061989,0.021935207,3.27e-06,3.81e-05,0.000345888,0.002445413,0.013464736,0.057740209,0.192848658,0.501761384,1.017737566,1.613686704,2.020804318,2.075713176,1.970094385,2.164960102,3.004217659,4.408822605,5.91276552,6.977305692,7.347864206,7.201648891,6.938209568,6.77174155,6.572326618,6.179941788,5.783546157,5.79609992,6.349942848,7.10270783,7.562311017,7.449946721,6.815841256,6.03448054,5.628872587,4.76e-07,6.57e-06,7.08e-05,0.000593606,0.003876614,0.019716824,0.078100018,0.24093241,0.578857256,1.083162136,1.578830631,1.794322906,1.597963679,1.145162407,0.747330176,0.622493249,0.774802169,1.037694425,1.19907753,1.137605318,0.886320229,0.579058825,0.34514835,0.246563906,0.276258684,0.381997167,0.49530407,0.566934869,0.594202926,0.614075196,19,71.88,True
457.62,5.0,0.0,8.5485,0.671147989,5.994750506,31.23,5.0,3.0,5.0,-8.3237,-7.5965,-0.0253,0.8398,1.0,4.098555636,1.693640746,4.12438,-0.03788661,-0.0031,2.750421912,3.39072902,3.712754672,4.250133584,4.32138489,4.376940328,4.463441174,4.494374184,4.53463049,4.610369872,4.748396806,4.809568538,5.055668838,5.466984886,5.619988604,5.720114852,5.884251974,6.07049473,6.074102548,6.120545456,4.098555636,4.927882652,4.985025034,5.06625673,5.411392254,5.708138384,5.841590456,5.854422386,5.921061636,6.103919738,6.295258072,6.305027696,6.331373446,6.391094612,6.455378242,6.46648685,6.506519992,6.620879144,6.731605682,6.898978682,1.693640746,0.145242116,0.051095243,0.063897357,0.047352107,0.011810445,0.00801241,0.11816581,0.004376425,0.166753542,0.240031063,0.163030334,0.000751164,0.347223334,0.012587936,0.111654517,0.25716549,0.007408139,0.006321139,0.088791058,6.48e-09,1.3e-07,2.04e-06,2.49e-05,0.000236463,0.001749083,0.010075901,0.045204744,0.157947124,0.429805374,0.910936761,1.504108433,1.937448818,1.959854054,1.606889654,1.214999271,1.144717941,1.499924711,2.082576849,2.590401826,2.855082058,2.870141915,2.664497129,2.331600257,2.207380673,2.836512006,4.607640896,7.357967976,10.31012823,12.45044694,13.10440274,12.27260533,10.48625028,4.53e-14,2.18e-12,8.14e-11,2.37e-09,5.37e-08,9.49e-07,1.31e-05,0.000139821,0.001166487,0.007579032,0.038350767,0.151133512,0.463846058,1.108698235,2.063855637,2.992074548,3.37829831,2.970979482,2.036729372,1.095742309,0.487723098,0.245763568,0.249018872,0.36322164,0.474953231,0.505358498,0.440670879,0.330128836,0.234648706,0.183111483,18,68.37,True
425.575,5.0,0.0,5.7645,0.692029196,5.358737992,46.61,4.0,4.0,6.0,-8.7213,-7.5843,0.1185,1.3115,1.0,4.15382592,1.280843228,5.25885,-0.03262271,-0.00318,2.740999432,3.56926022,4.186271486,4.217502048,4.351846776,4.475653204,4.63877369,4.872066856,5.068029644,5.221864028,5.341231972,5.49826504,5.557242326,5.765404746,5.939125522,6.12293827,6.282351754,6.282488132,6.337473262,6.345680738,4.15382592,4.913897708,5.230331862,5.598106134,5.618699212,5.7805675,5.870180244,5.878462108,5.935616888,6.1983801,6.272247384,6.428685348,6.711520922,6.729225266,6.737854274,6.835463728,6.882774496,6.96265481,7.157563768,7.19362955,1.280843228,0.009779431,0.034188953,0.021862563,0.001914607,0.086487052,0.006468397,0.00526707,0.017266142,0.04661414,0.002759301,0.155664281,0.039088253,0.027307871,0.003593113,0.358090832,0.148865362,0.022120113,0.345980485,0.0746452,8.7e-09,1.71e-07,2.61e-06,3.11e-05,0.000288591,0.002084966,0.011731192,0.05140574,0.175431463,0.466261746,0.965114613,1.555814285,1.953393679,1.910999077,1.461626283,0.897144462,0.525504739,0.506082064,0.846224251,1.404421076,1.889085536,2.017468652,1.795906828,1.61126293,1.979402631,3.14789425,4.853714667,6.444721475,7.326500331,7.346600809,6.774601589,6.018519132,5.41087796,3.62e-15,2e-13,8.58e-12,2.87e-10,7.47e-09,1.51e-07,2.39e-06,2.94e-05,0.000281687,0.002101401,0.012208948,0.055242574,0.194668619,0.534249804,1.141876642,1.900730226,2.464045844,2.487755519,1.956236859,1.198543577,0.573623055,0.21833651,0.074411786,0.037166417,0.039435002,0.053866192,0.070479241,0.083546821,0.092866885,0.108029683,17,48.0,True
374.494,6.0,0.0,5.55672,0.7614733,5.110442961,43.08,5.0,3.0,6.0,-8.7868,-7.6818,-0.3399,0.4599,1.0,3.988734152,1.592068746,8.95801,-0.03022194,-0.00266,2.647320144,3.157659018,3.702464332,4.272821924,4.303110238,4.43736818,4.458915904,4.50394544,4.728882354,4.780272064,4.82554956,4.891308552,5.311067638,5.39517567,5.540195076,5.72731809,5.765789084,5.778137492,5.794564842,5.865332626,3.988734152,4.861925292,5.006845514,5.290834102,5.398919866,5.599817058,5.7334551,5.857459896,5.88669438,6.027610048,6.067283648,6.28132272,6.30841235,6.327926802,6.511826336,6.629309784,6.685137978,6.693097494,6.763394154,6.796992734,1.592068746,0.097313543,0.007208876,0.027293952,0.030646232,0.0086901,0.050030027,0.023575739,0.068052511,0.010084564,0.0053964,0.015776401,0.031934479,0.00976394,0.020158452,0.052349425,0.006706469,0.029098666,0.172944828,0.079894424,1.43e-07,2.21e-06,2.68e-05,0.000252552,0.001853665,0.010595957,0.047171914,0.163561875,0.441784561,0.930112942,1.529709715,1.980547199,2.07219911,1.893701737,1.768554197,1.887514463,2.088840828,2.07930518,1.821521022,1.594904933,1.657952969,1.9339277,2.103537755,2.014137988,1.955053578,2.492659987,4.003790295,6.29155707,8.610278725,10.16925974,10.73109073,10.65265492,10.26138851,2.95e-12,1.08e-10,3.06e-09,6.77e-08,1.17e-06,1.57e-05,0.000163684,0.00133245,0.008447367,0.041707883,0.160376718,0.480275989,1.120125827,2.034553671,2.878048375,3.170701459,2.720547253,1.818599652,0.949744807,0.397014194,0.159367766,0.114065171,0.150824025,0.197677249,0.214037965,0.194934099,0.164542509,0.147707077,0.149024323,0.161364537,16,44.96,True
580.975,5.0,0.0,13.1255,0.265030939,6.364665502,0.0,5.0,15.0,5.0,-8.3084,-7.4681,-0.2243,0.6184,1.0,3.79614362,1.694529622,0.84704,-0.04443431,0.00304,2.553665652,3.015553142,3.515862034,3.77853846,4.172373328,4.324397604,4.388867204,4.442600136,4.473371972,4.47474815,4.993058938,5.203093456,5.3255609,5.49578544,5.555779362,5.754320934,5.837486718,5.875697354,5.966748266,5.970740422,3.79614362,4.653080982,5.184186506,5.281076876,5.402750848,5.496541718,5.637147436,5.641982656,5.76624781,5.789965184,5.81212041,5.934823416,6.054699678,6.176088496,6.214199948,6.415357498,6.42817703,6.492299486,6.547619362,6.632421682,1.694529622,0.202273978,0.046481615,0.056211034,0.008103711,0.00262298,0.02021498,0.018696525,0.12492984,0.065140259,0.181883181,0.009523308,0.008974763,0.048838166,0.012333337,0.018824122,0.005897568,0.075393895,0.005941854,0.002361912,1.87e-06,2.3e-05,0.000220677,0.00164562,0.009557312,0.04323067,0.152317449,0.418188272,0.895724298,1.502377545,1.996122789,2.172322165,2.101305095,2.053515089,2.150995348,2.226715765,2.108357679,1.91807425,1.955601565,2.335131362,2.858496036,3.230295485,3.30542164,3.179085511,3.189055997,3.812263669,5.364300648,7.635851678,9.765657265,10.60890092,9.56071982,7.166338728,4.759249742,2.56e-09,5.78e-08,1.01e-06,1.39e-05,0.000147673,0.001224584,0.007908678,0.039778225,0.155816449,0.475343527,1.129349212,2.08965872,3.011267831,3.379514468,2.954092979,2.012558898,1.074689226,0.471063428,0.226428909,0.216663111,0.308259133,0.392211788,0.399283775,0.329140265,0.241204551,0.195216995,0.202376189,0.233241426,0.26470722,0.314958211,16,38.74,True
522.735,3.0,0.0,10.57742,0.718781967,6.970584117,0.0,6.0,6.0,4.0,-8.0563,-7.6057,-0.0308,0.7277,1.0,4.08129762,1.690352665,1.70108,-0.03721266,0.0032,2.710797904,3.278564314,3.497636974,3.972579558,4.293415002,4.338407344,4.347036352,4.377684208,4.45912667,4.463912298,4.615316674,4.646175296,4.731535526,4.823466696,4.83931134,4.85722645,4.989860254,5.199807986,5.435605548,5.721391846,4.08129762,4.959212398,5.0187104,5.171986874,5.175594692,5.251036522,5.540269464,5.721850572,5.86512186,5.885119834,6.038904626,6.04421097,6.066192624,6.126434506,6.270375286,6.394169316,6.436458894,6.49549817,6.559707412,6.628491516,1.690352665,0.85807906,0.027607049,0.04153529,0.015294671,0.004021237,0.083032032,0.036179374,0.064702619,0.069004186,0.010275288,0.065843408,0.027826926,0.00613478,0.006953163,0.025383666,0.030103379,0.122542182,0.007965067,0.014101585,2.19e-08,4e-07,5.67e-06,6.26e-05,0.000538396,0.003606849,0.018818336,0.076465225,0.241983736,0.59647046,1.145626125,1.717344717,2.022895804,1.924322497,1.630642883,1.547648438,1.915850588,2.60702759,3.240451946,3.468105492,3.199875419,2.660358113,2.256854305,2.321564301,2.978257194,4.308992773,6.490330544,9.463556603,12.524146,14.67031244,15.48804077,15.36400414,14.75242283,8.98e-14,4.13e-12,1.48e-10,4.13e-09,8.96e-08,1.52e-06,2e-05,0.000204871,0.001637003,0.010186988,0.04937061,0.186344918,0.547763384,1.25399223,2.235750245,3.104416881,3.357225414,2.828545863,1.861965675,0.982101715,0.501777956,0.465954091,0.789773084,1.303113941,1.732565243,1.817388673,1.514203896,1.028087734,0.614495564,0.39170171,15,32.17,True
467.681,5.0,1.0,8.4578,0.700123996,6.262055983,38.33,4.0,5.0,6.0,-8.6525,-7.467,-0.19,0.884,1.0,3.822662942,1.631042206,2.95444,-0.03883536,-0.00128,2.498469756,3.207746938,3.850273288,4.28400492,4.33613851,4.397335038,4.466329908,4.575965422,4.794653744,4.918832112,5.219582796,5.322126654,5.353729156,5.574599526,5.83561462,6.096307366,6.108221844,6.150449432,6.29378271,6.2969442,3.822662942,4.916265726,5.150290374,5.416264668,5.441990518,5.488210262,5.657554544,5.747489636,5.922822152,6.024944478,6.256501924,6.50634642,6.506371216,6.572948476,6.657130896,6.720224318,6.749334822,6.751120134,6.88051806,7.051771634,1.631042206,0.021345493,0.001842697,0.031415173,0.014604879,0.000446604,0.005050648,0.05777835,0.144350467,0.171121532,0.015745108,0.01325206,0.046176666,0.077823419,0.015355074,0.014110137,0.011176103,0.012878849,0.013812081,0.225121239,7.72e-06,8.27e-05,0.000689927,0.00448171,0.022673098,0.089331459,0.27410998,0.655049995,1.219177382,1.767594809,1.998460365,1.773267289,1.28008998,0.889825316,0.876448308,1.249229243,1.748676835,2.007564888,1.839366756,1.415139811,1.11751797,1.21208975,1.647381624,2.151028431,2.573292145,3.16284353,4.370863334,6.256766313,8.173694964,9.218320533,9.020695914,8.002335423,6.872635319,1.04e-09,2.49e-08,4.68e-07,6.84e-06,7.78e-05,0.000689213,0.004756215,0.02556207,0.106993381,0.348774062,0.885437331,1.750644066,2.695654719,3.232637833,3.019091197,2.195947717,1.243933831,0.548841944,0.188915541,0.051975709,0.015415364,0.014004218,0.024369584,0.037489998,0.047133724,0.051699889,0.057203779,0.072322602,0.099877355,0.137647763,14,31.94,True
806.15,6.0,0.0,16.8564,0.538960552,7.934824676,34.84,8.0,19.0,6.0,-7.5688,-7.2427,0.0688,0.3255,1.0,4.00089659,2.305491788,2.19426,-0.04153712,-0.00119,2.852643422,2.980875936,3.616112262,3.721606844,3.839363048,3.963925754,3.995094326,4.081619968,4.175981146,4.268953748,4.357016742,4.367468256,4.46377592,4.665454186,4.691725548,4.71440149,4.809097414,4.810287622,4.823727054,4.972292288,4.00089659,4.27997557,4.564373292,4.607890272,4.747826498,4.765059718,5.03817526,5.174888006,5.255834548,5.358390804,5.541521662,5.65416989,5.849537574,6.009583356,6.015224446,6.015831948,6.079160932,6.0898976,6.124587204,6.271974628,2.305491788,0.088258446,0.023142225,0.238376873,0.300251327,0.077523953,0.032169816,0.077164834,0.055112781,1.027762462,0.061912655,0.003447587,0.020439013,0.113018895,0.001987885,0.016558767,0.082558413,0.010462055,0.045345815,0.032504055,2.35e-10,6.14e-09,1.25e-07,1.98e-06,2.45e-05,0.000237476,0.001799912,0.01069427,0.049911009,0.183421613,0.532287484,1.223565306,2.234818912,3.25250919,3.781427032,3.526810956,2.688650729,1.845769707,1.576717458,2.176372522,3.582866922,5.45554393,7.378170956,9.070308683,10.42163986,11.39965951,12.01299764,12.30740296,12.35736423,12.36760569,12.70310538,13.47421001,14.05227253,2.71e-12,1.02e-10,2.99e-09,6.82e-08,1.21e-06,1.68e-05,0.000180575,0.001515372,0.009904182,0.05041599,0.199890718,0.617363118,1.485636417,2.786865287,4.079432827,4.671033898,4.210720725,3.049471325,1.902159095,1.246723511,1.100114,1.197390438,1.258619477,1.16963377,1.030110583,1.053577057,1.376164196,1.89976188,2.306987505,2.294970992,13,23.09,True
825.196,4.0,0.0,17.767,0.37710617,6.893407185,18.46,9.0,17.0,4.0,-7.5997,-7.575,-0.2916,-0.0107,1.0,3.88094594,0.624679113,3.54543,-0.04022967,-0.00275,2.25203471,2.823793276,3.209891792,3.589952482,3.655029584,3.817691344,3.966541732,3.987395168,4.00852136,4.079041184,4.277892706,4.342411898,4.415014586,4.513578686,4.547264052,4.570101168,4.765902782,4.767328552,4.815333608,4.841629766,3.88094594,4.175919156,4.214427344,4.464904138,4.602968266,4.770353664,4.773577144,4.947273124,5.026942672,5.043469206,5.066293924,5.336123996,5.517953064,5.591721164,5.593332904,5.73816634,5.757916354,5.785005984,5.905018624,5.968620364,0.624679113,0.000396373,0.499491013,0.00361521,0.487366272,0.000197707,0.044088271,0.026814925,0.117039409,0.011942356,0.011752729,0.582823409,5.15e-05,0.003812203,0.066629255,0.827790719,0.00786033,0.008732132,0.986598587,0.01255368,0.001696899,0.009814789,0.044211367,0.155102885,0.423798807,0.902071478,1.497022393,1.943734238,2.002863066,1.728982558,1.466481665,1.524783747,1.886814556,2.272668163,2.472929244,2.540562231,2.629323908,2.80015606,3.117359775,3.770391636,4.891965195,6.362199261,7.951752191,9.49334285,10.75426535,11.41812367,11.48354324,11.4571999,11.84889519,12.61832236,13.30027029,13.45533695,12.78143698,5.53e-11,1.54e-09,3.35e-08,5.66e-07,7.44e-06,7.63e-05,0.000609313,0.003789857,0.018367471,0.069406958,0.204800114,0.47347434,0.864095346,1.264959277,1.532413183,1.615930647,1.573465716,1.475865043,1.368349833,1.297596543,1.276163408,1.236475313,1.106500408,0.917993005,0.78485817,0.798002793,0.96878653,1.232609381,1.494546515,1.732633347,12,15.0,True
