ID,SMILES,vmin_vmin_boltz,vmin_r_boltz,fmo_e_homo_boltz,fmo_e_lumo_boltz,fmo_mu_boltz,fmo_eta_boltz,fmo_omega_boltz,somo_ra_boltz,somo_rc_boltz,nbo_P_boltz,nbo_P_ra_boltz,spindens_P_ra_boltz,nbo_P_rc_boltz,spindens_P_rc_boltz,nmr_P_boltz,nmrtens_sxx_P_boltz,nmrtens_syy_P_boltz,nmrtens_szz_P_boltz,efg_amp_P_boltz,efgtens_xx_P_boltz,efgtens_yy_P_boltz,efgtens_zz_P_boltz,nuesp_P_boltz,E_solv_cds_boltz,nbo_lp_P_percent_s_boltz,nbo_lp_P_occ_boltz,nbo_lp_P_e_boltz,nbo_bd_e_max_boltz,nbo_bd_e_avg_boltz,nbo_bds_e_min_boltz,nbo_bds_e_avg_boltz,nbo_bd_occ_min_boltz,nbo_bd_occ_avg_boltz,nbo_bds_occ_max_boltz,nbo_bds_occ_avg_boltz,E_solv_total_boltz,E_solv_elstat_boltz,E_oxidation_boltz,E_reduction_boltz,fukui_p_boltz,fukui_m_boltz,vbur_vtot_boltz,vbur_ratio_vbur_vtot_boltz,Pint_P_int_boltz,Pint_dP_boltz,Pint_P_min_boltz,Pint_P_max_boltz,volume_boltz,surface_area_boltz,sphericity_boltz,dipolemoment_boltz,dipolemoment_min,dipolemoment_max,dipolemoment_delta,dipolemoment_vburminconf,qpole_amp_boltz,qpole_amp_min,qpole_amp_max,qpole_amp_delta,qpole_amp_vburminconf,qpoletens_xx_boltz,qpoletens_xx_min,qpoletens_xx_max,qpoletens_xx_delta,qpoletens_xx_vburminconf,qpoletens_yy_boltz,qpoletens_yy_min,qpoletens_yy_max,qpoletens_yy_delta,qpoletens_yy_vburminconf,qpoletens_zz_boltz,qpoletens_zz_min,qpoletens_zz_max,qpoletens_zz_delta,qpoletens_zz_vburminconf,pyr_P_boltz,pyr_P_min,pyr_P_max,pyr_P_delta,pyr_P_vburminconf,pyr_alpha_boltz,pyr_alpha_min,pyr_alpha_max,pyr_alpha_delta,pyr_alpha_vburminconf,vbur_vbur_boltz,vbur_vbur_min,vbur_vbur_max,vbur_vbur_delta,vbur_vbur_vburminconf,vbur_qvbur_min_boltz,vbur_qvbur_min_min,vbur_qvbur_min_max,vbur_qvbur_min_delta,vbur_qvbur_min_vburminconf,vbur_qvbur_max_boltz,vbur_qvbur_max_min,vbur_qvbur_max_max,vbur_qvbur_max_delta,vbur_qvbur_max_vburminconf,vbur_qvtot_min_boltz,vbur_qvtot_min_min,vbur_qvtot_min_max,vbur_qvtot_min_delta,vbur_qvtot_min_vburminconf,vbur_qvtot_max_boltz,vbur_qvtot_max_min,vbur_qvtot_max_max,vbur_qvtot_max_delta,vbur_qvtot_max_vburminconf,vbur_max_delta_qvbur_boltz,vbur_max_delta_qvbur_min,vbur_max_delta_qvbur_max,vbur_max_delta_qvbur_delta,vbur_max_delta_qvbur_vburminconf,vbur_max_delta_qvtot_boltz,vbur_max_delta_qvtot_min,vbur_max_delta_qvtot_max,vbur_max_delta_qvtot_delta,vbur_max_delta_qvtot_vburminconf,vbur_ovbur_min_boltz,vbur_ovbur_min_min,vbur_ovbur_min_max,vbur_ovbur_min_delta,vbur_ovbur_min_vburminconf,vbur_ovbur_max_boltz,vbur_ovbur_max_min,vbur_ovbur_max_max,vbur_ovbur_max_delta,vbur_ovbur_max_vburminconf,vbur_ovtot_min_boltz,vbur_ovtot_min_min,vbur_ovtot_min_max,vbur_ovtot_min_delta,vbur_ovtot_min_vburminconf,vbur_ovtot_max_boltz,vbur_ovtot_max_min,vbur_ovtot_max_max,vbur_ovtot_max_delta,vbur_ovtot_max_vburminconf,vbur_near_vbur_boltz,vbur_near_vbur_min,vbur_near_vbur_max,vbur_near_vbur_delta,vbur_near_vbur_vburminconf,vbur_far_vbur_boltz,vbur_far_vbur_min,vbur_far_vbur_max,vbur_far_vbur_delta,vbur_far_vbur_vburminconf,vbur_near_vtot_boltz,vbur_near_vtot_min,vbur_near_vtot_max,vbur_near_vtot_delta,vbur_near_vtot_vburminconf,vbur_far_vtot_boltz,vbur_far_vtot_min,vbur_far_vtot_max,vbur_far_vtot_delta,vbur_far_vtot_vburminconf,sterimol_B1_boltz,sterimol_B1_min,sterimol_B1_max,sterimol_B1_delta,sterimol_B1_vburminconf,sterimol_B5_boltz,sterimol_B5_min,sterimol_B5_max,sterimol_B5_delta,sterimol_B5_vburminconf,sterimol_L_boltz,sterimol_L_min,sterimol_L_max,sterimol_L_delta,sterimol_L_vburminconf,sterimol_burB1_boltz,sterimol_burB1_min,sterimol_burB1_max,sterimol_burB1_delta,sterimol_burB1_vburminconf,sterimol_burB5_boltz,sterimol_burB5_min,sterimol_burB5_max,sterimol_burB5_delta,sterimol_burB5_vburminconf,sterimol_burL_boltz,sterimol_burL_min,sterimol_burL_max,sterimol_burL_delta,sterimol_burL_vburminconf,DDG
27,COc1cccc(OC)c1-c1ccccc1P(c1ccccc1C)c1ccccc1C,-0.052474396,1.821309744,-0.213938215,-0.027531373,-0.120734794,0.186406842,0.039104349,0.054480084,-0.346443949,0.807275366,0.765323031,0.050072856,1.138142852,0.423491776,321.3479151,309.8296316,321.6575702,332.5566422,1.824147899,-0.754117025,-0.735250506,1.489367533,-54.18792902,-8.059678661,49.17114901,1.887303886,-0.294992614,-0.465609112,-0.466631852,0.237268531,0.239411219,1.949119636,1.950788124,0.043367433,0.04206893,-18.2054139,-10.14573524,0.255660108,0.013916711,0.041952335,0.330867486,476.4566608,0.22852664,20.77116609,4.536179475,13.65431571,37.87926781,546.8068793,431.9639117,0.748715577,1.470906504,0.740249954,2.760723887,2.020473933,2.760723887,11.68908473,8.619437884,13.22231172,4.602873835,9.086681469,7.733043908,5.664303749,9.55390039,3.889596641,6.888202596,0.861508771,-4.533437268,1.882417804,6.415855072,-1.056971472,-8.594552678,-9.509560871,-4.894956676,4.614604195,-5.831231124,0.926254643,0.838363682,0.930343975,0.091980292,0.839358909,18.84911613,18.29689913,28.66492087,10.36802174,28.66492087,108.8864848,62.94567982,111.6524137,48.70673385,62.94567982,13.64180508,11.16607809,17.33377784,6.167699747,12.44626539,41.22992904,19.07416318,42.93334016,23.85917698,19.55318752,68.71036514,61.20256999,88.9954823,27.7929123,82.31467762,175.7158463,163.987732,201.1409925,37.15326054,167.7544977,20.79731486,6.307850971,23.38747398,17.07962301,7.106922127,95.02699379,71.12056693,121.1261877,50.00562075,71.12056693,0.039173214,0,0.288669685,0.288669685,0,22.1047716,18.82523788,22.2913659,3.466128025,18.82523788,0.04211072,0,0.244237705,0.244237705,0,137.1846458,117.5371495,184.584348,67.0471985,167.7544977,76.20747872,62.21773018,77.95336571,15.73563553,62.21773018,32.67900612,0.096223228,36.96854592,36.87232269,0.72794964,401.9206861,392.5969822,470.9889541,78.39197188,468.9335614,74.4538043,0.71200648,83.30191354,82.58990706,0.71200648,4.41659202,4.271621693,4.782455309,0.510833616,4.5938761,6.969748402,6.435956221,7.700401642,1.26444542,7.017577725,7.632401696,7.542678558,10.01065954,2.467980977,10.00210056,4.299647298,4.163728686,4.65357703,0.489848344,4.556436321,6.717266345,6.07744743,6.996541038,0.919093609,6.853833589,7.194456001,7.112432935,8.375639738,1.263206803,8.269942535,1.764
28,COc1cccc(OC)c1-c1ccccc1P(c1ccc(C(F)(F)F)cc1)c1ccc(C(F)(F)F)cc1,-0.035071569,1.820342725,-0.232741722,-0.056612164,-0.144676943,0.176129558,0.059420575,0.028195456,-0.365287714,0.822229194,0.778076891,0.030628626,1.067398933,0.332924485,295.0031588,258.813268,301.6200768,324.5761319,1.801923725,-0.782427407,-0.68782273,1.470250135,-54.16567202,-5.678825557,50.04480608,1.892800709,-0.317569371,-0.482127243,-0.48806897,0.213139424,0.214674051,1.948951837,1.95081009,0.040310116,0.038565798,-17.37088976,-11.69206421,0.27433714,-0.013934034,0.044152303,0.245169739,529.3121415,0.176815797,19.93049717,5.349948001,10.16045305,39.49053477,580.2027744,477.7251172,0.704196746,4.153624787,2.88023621,4.564214481,1.683978271,3.943471206,18.55472984,14.06576094,25.83520128,11.76944034,14.06576094,13.95636126,6.740653924,17.55254001,10.81188608,6.740653924,-1.879685368,-3.432170238,7.541678648,10.97384889,4.682343644,-12.07667589,-18.90840043,-9.868445643,9.039954788,-11.42299757,0.93265554,0.879991833,0.936254024,0.056262191,0.886714289,17.98689748,17.39712277,24.47657615,7.079453372,23.45869296,93.59124771,51.95635962,100.4957487,48.53938911,51.95635962,10.90912912,10.44126617,11.62941385,1.188147687,11.62941385,41.91617252,14.55062555,42.14472805,27.5941025,14.55062555,78.67593694,64.51445582,95.12514478,30.61068896,75.22816879,205.2188503,170.6613291,217.4157108,46.75438176,199.4537794,25.12869326,2.106451974,25.16864961,23.06219763,2.106451974,126.5215976,83.63799934,126.6096374,42.97163805,103.2520341,0,0,0,0,0,22.04742503,14.55062555,22.40013999,7.849514432,14.55062555,0,0,0,0,0,186.8550812,155.1666543,212.1266897,56.96003537,199.4537794,63.51616073,51.95635962,66.9399897,14.98363008,51.95635962,30.07508698,0,35.25535409,35.25535409,0,470.6598787,454.8762821,524.9202656,70.04398344,524.9202656,58.64390184,0,69.77662522,69.77662522,0,4.663145174,4.383554244,5.3020583,0.918504055,5.3020583,8.101941142,8.024421218,8.208499213,0.184077995,8.177377063,8.088395837,7.826963003,9.928423581,2.101460578,9.398328854,4.196683957,4.135156824,4.516333092,0.381176268,4.500579314,6.524285682,6.106533338,6.865570146,0.759036807,6.133858578,7.116138135,7.113951141,8.349094488,1.235143347,7.820620428,3.212
29,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c(C(C)C)c1,-0.025787749,2.041432987,-0.246248285,-0.077339041,-0.161793663,0.168909244,0.07748913,0.004121735,-0.38459657,0.840744616,0.814097625,0.01172664,1.034219445,0.277387117,307.1632836,278.6783443,310.3769334,332.4344732,1.835912288,-0.825180588,-0.671196535,1.496377644,-54.1470669,-6.514714249,50.72428921,1.892903352,-0.335904361,-0.499976933,-0.506266127,0.193332222,0.195905522,1.949039119,1.950004564,0.039416666,0.039018587,-18.73582629,-12.22111204,0.284881399,-0.036495373,0.026646991,0.193474829,718.1057732,0.144383727,20.2224477,6.126756475,10.78958137,42.23633254,792.6923082,640.2104246,0.64699062,3.990100618,3.865221044,4.489932958,0.624711914,4.214364998,9.629241249,9.530709551,13.6445991,4.11388955,11.70936513,6.543761647,6.465903054,9.686071966,3.220168911,8.619225089,0.502402431,-1.683561031,1.052389773,2.735950804,-0.726829402,-7.046164078,-9.870451739,-6.405104875,3.465346864,-7.892395687,0.937515607,0.873328226,0.937965234,0.064637008,0.875904614,17.2925102,17.22673324,25.00926271,7.782529474,24.48212678,103.6828268,53.24491415,109.3420103,56.09709614,53.24491415,10.97658111,10.2906559,11.8877523,1.597096407,11.57398091,41.6263863,15.78688485,42.8967335,27.10984864,15.78688485,110.4570253,101.7169789,129.770383,28.05340405,116.0424914,268.3403623,246.0227394,295.1701292,49.14738977,287.5912784,25.22465547,3.830102845,26.21769197,22.38758913,3.830102845,145.6475247,91.01776209,174.5708809,83.55311882,161.9441309,0.000000476,0,0.109819989,0.109819989,0,22.33316883,15.77747171,22.39909408,6.621622368,15.77747171,0.060684942,0,0.108382661,0.108382661,0,207.7073033,187.1405029,283.2163716,96.07586867,280.5806397,66.46225853,53.23550101,68.66991599,15.43441499,53.23550101,37.22056822,0.009413142,43.61213228,43.60271914,0.009413142,573.8242763,570.1255509,708.3076511,138.1821002,708.3076511,144.2808425,7.001515495,144.3846031,137.3830876,7.001515495,5.75550612,5.354871762,6.170478054,0.815606292,5.574172292,7.841559539,7.687094886,9.271746134,1.584651248,8.109607547,9.083113495,8.652138158,11.3639064,2.711768237,9.760725446,4.787100756,4.167913543,4.922620537,0.754706994,4.528160856,7.264417855,6.978601372,7.762219793,0.783618422,6.978601372,7.041225164,7.031976373,8.275143507,1.243167135,7.706613863,3.264
30,CC(C)(C)P(C1CCCCC1)C(C)(C)C,-0.067773247,1.782725937,-0.216838972,0.033656057,-0.091591457,0.250495029,0.016744957,0.11025774,-0.431334326,0.770485769,0.750168609,0.025736961,1.39987253,0.806980542,241.7788574,207.1507421,225.2080381,292.9777924,1.733973841,-0.718291069,-0.697440576,1.415732587,-54.20056022,-5.115629721,49.33849468,1.932417902,-0.29040992,-0.431535718,-0.43656051,0.184769515,0.191237797,1.943123105,1.949636648,0.054158098,0.046773957,-8.721618784,-3.605989063,0.27273318,0.072241814,0.02031716,0.629386761,277.7563395,0.230425566,18.13179133,3.067422281,12.70093206,31.15056375,350.5435447,284.5384425,0.844965034,1.136436628,1.12692255,1.189465179,0.062542629,1.189465179,3.213320538,2.897515869,3.36818758,0.470671711,2.90878771,1.57560043,1.278512527,1.633201267,0.35468874,1.444361849,1.028662018,0.91057353,1.189805518,0.279231989,0.91057353,-2.604262448,-2.736944262,-2.354935379,0.382008883,-2.354935379,0.843092138,0.83297565,0.874640158,0.041664508,0.874640158,28.21776047,24.8571019,29.34153153,4.484429636,24.8571019,64.00221492,61.55776434,64.27293283,2.715168483,61.55776434,14.09328868,11.96096563,14.29856253,2.337596903,13.54864889,18.27796944,17.52204068,18.39746287,0.875422196,17.52204068,51.26395037,50.43987593,54.44485157,4.004975641,53.45718372,103.1009635,92.15024203,103.9509281,11.80068611,92.15024203,3.197172095,2.722489816,4.857181215,2.1346914,3.973391782,51.8334169,30.31347624,52.91292173,22.59944548,30.31347624,0,0,0,0,0,18.27796944,17.52204068,18.39746287,0.875422196,17.52204068,0,0,0,0,0,103.1009635,92.15024203,103.9509281,11.80068611,92.15024203,64.00221492,61.55776434,64.27293283,2.715168483,61.55776434,0,0,0,0,0,276.613689,276.5790586,277.7029802,1.123921598,276.9350708,0,0,0,0,0,3.984986929,3.98343868,4.077447158,0.094008478,4.077447158,6.575061096,6.495456001,6.799015471,0.303559471,6.79090402,7.488961826,6.697178538,7.496178587,0.799000049,6.707379114,3.984986929,3.98343868,4.077447158,0.094008478,4.077447158,6.20657205,6.095225516,6.450931346,0.35570583,6.423807509,7.083345334,6.697178538,7.146336491,0.449157953,6.707379114,0.727
31,CC(C)(C)P(c1ccccc1)C(C)(C)C,-0.0621596,1.782106778,-0.22535,-0.02504,-0.125195,0.20031,0.039123828,0.08049,-0.40468,0.76585,0.72141,0.04894,1.3876,0.78501,252.493,228.5532,234.5389,294.3869,1.760936863,-0.79994,-0.63469,1.43463,-54.194663,-4.69,49.05,1.9298,-0.29339,-0.43323,-0.44688,0.18062,0.198913333,1.93588,1.94592,0.05943,0.049146667,-9.395197287,-4.705197287,0.2805171,0.0278839,0.04444,0.62175,270.007243,0.233792156,18.26,3.15,13.32,31.57,328.85884,274.27993,0.840033,1.14296524,1.14296524,1.14296524,0,1.14296524,4.348823169,4.348823169,4.348823169,0,4.348823169,3.211239189,3.211239189,3.211239189,0,3.211239189,-0.293335847,-0.293335847,-0.293335847,0,-0.293335847,-2.917903341,-2.917903341,-2.917903341,0,-2.917903341,0.856901014,0.856901014,0.856901014,0,0.856901014,26.76528983,26.76528983,26.76528983,0,26.76528983,63.12557542,63.12557542,63.12557542,0,63.12557542,13.57061289,13.57061289,13.57061289,0,13.57061289,18.11506862,18.11506862,18.11506862,0,18.11506862,50.22050876,50.22050876,50.22050876,0,50.22050876,92.25001944,92.25001944,92.25001944,0,92.25001944,4.481701444,4.481701444,4.481701444,0,4.481701444,42.02951068,42.02951068,42.02951068,0,42.02951068,0,0,0,0,0,18.11506862,18.11506862,18.11506862,0,18.11506862,0,0,0,0,0,92.25001944,92.25001944,92.25001944,0,92.25001944,63.12557542,63.12557542,63.12557542,0,63.12557542,0,0,0,0,0,269.2190183,269.2190183,269.2190183,0,269.2190183,0,0,0,0,0,3.936131037,3.936131037,3.936131037,0,3.936131037,6.443026203,6.443026203,6.443026203,0,6.443026203,7.487539402,7.487539402,7.487539402,0,7.487539402,3.936131037,3.936131037,3.936131037,0,3.936131037,6.029334909,6.029334909,6.029334909,0,6.029334909,7.042765705,7.042765705,7.042765705,0,7.042765705,1.211
32,CC(C)(C)P(C1CCCCC1)C1CCCCC1,-0.066849648,1.781811298,-0.219144995,0.032404274,-0.09337036,0.251549269,0.017330087,0.106744766,-0.426158476,0.768605659,0.741982524,0.025087508,1.377236726,0.788718391,266.0035554,226.0597716,259.1998615,312.7510541,1.698631593,-0.713951138,-0.67271542,1.386667149,-54.20158083,-6.858884132,50.56840951,1.939447061,-0.296954917,-0.427928495,-0.436929809,0.183342272,0.196409085,1.943456206,1.954314112,0.050559381,0.038844965,-10.41228635,-3.55340222,0.274460413,0.069944466,0.026623135,0.608631067,301.738832,0.200595824,18.52897748,3.417590443,12.60064747,30.37103293,381.4974549,314.0448848,0.810027585,1.214170065,1.112616137,1.258888446,0.146272308,1.222418153,3.296172503,2.209146197,3.67382308,1.464676883,3.67382308,1.643125243,1.052480047,1.823176081,0.770696034,1.688889634,1.020452755,0.666710853,1.342385475,0.675674622,1.302466188,-2.663577997,-2.991355822,-1.784832607,1.206523216,-2.991355822,0.889988074,0.836794299,0.923087975,0.086293676,0.836794299,23.27581565,19.229109,28.98376572,9.754656721,28.98376572,60.52699471,57.52057238,72.42785142,14.90727904,57.52057238,12.30750407,11.92122125,14.32366424,2.402442991,11.95991972,17.50814425,16.05149873,25.81397278,9.762474045,17.64754924,48.25011943,45.62399246,56.1729419,10.54894944,51.12638104,101.8361151,93.93197946,103.8194027,9.887423264,97.82955027,4.44093489,1.767578866,11.572935,9.805356136,5.687629511,52.16467277,36.54132297,56.74205302,20.20073005,45.35486341,0,0,0,0,0,17.23720676,16.05149873,21.33645495,5.284956219,17.64754924,0,0,0,0,0,101.8360996,93.93197946,103.8194027,9.887423264,97.82955027,60.21600021,57.52057238,68.80065408,11.2800817,57.52057238,0.310994492,0,5.118657379,5.118657379,0,299.9695027,287.5752965,301.8664961,14.2911996,301.8414711,0.675818986,0,10.416007,10.416007,0,4.04029665,3.720836132,4.265883616,0.545047484,4.111594416,6.76157267,6.446337104,6.851729633,0.405392529,6.582163817,7.552159447,6.699425696,7.607634179,0.908208482,7.438119674,4.033252444,3.720836132,4.254810916,0.533974784,4.111594416,6.366420863,6.092568319,6.462962415,0.370394096,6.142228678,7.120916863,6.530565442,7.187777928,0.657212486,6.971933487,1.053
35,CC(C)c1cc(C(C)C)c(-c2ccccc2P(c2ccc(C(F)(F)F)cc2)c2ccc(C(F)(F)F)cc2)c(C(C)C)c1,-0.034387228,1.937283117,-0.237716115,-0.061394791,-0.149555453,0.176321325,0.063426404,0.021387658,-0.374835791,0.828657562,0.781789524,0.035790231,1.069484453,0.330105998,307.4165555,280.4368472,311.0233921,330.7893919,1.813636869,-0.77703357,-0.703180186,1.480214432,-54.16052995,-8.743083099,50.05304875,1.89142332,-0.321774309,-0.48836925,-0.493476274,0.208051386,0.210115367,1.949023032,1.950364885,0.039331917,0.038617321,-19.38651117,-10.64342807,0.276311418,-0.019370854,0.046868037,0.240826891,631.2353964,0.161850999,20.3870886,5.747036358,10.29000978,41.56175841,717.1755123,575.2975931,0.673506476,3.506638778,3.505097514,4.099166931,0.594069417,3.778012693,20.97797184,15.38777361,21.83997418,6.45220057,18.65741024,15.11098285,8.233213755,15.23577604,7.002562283,9.732394244,-0.575441636,-4.813269637,6.69363335,11.50690299,5.283179955,-14.53554121,-15.8580497,-7.644042543,8.214007154,-15.0155742,0.934284058,0.865868069,0.93533784,0.069469771,0.880431005,17.7603439,17.59648031,25.86287892,8.266398608,24.20175343,102.1660172,53.73125981,109.2457871,55.51452725,53.73125981,11.00771346,10.37537417,11.73714203,1.36176786,10.95271354,41.42790275,16.5158804,43.66756523,27.15168483,16.5158804,79.01116703,69.03525771,100.792023,31.75676534,100.792023,244.8470736,240.1178963,280.5718715,40.45397515,260.5817713,24.941024,5.546432383,28.88893246,23.34250008,5.546432383,153.0741297,146.9597802,189.4625838,42.5028036,159.7897483,0.00000323,0,0.037652568,0.037652568,0,22.31908425,16.5158804,22.39386456,5.877984158,16.5158804,0.00000315,0,0.036323851,0.036323851,0,172.8784637,171.2709805,265.6766995,94.40571903,260.5817713,66.22882356,53.73125981,67.72128047,13.99002066,53.73125981,35.93719365,0,42.98249768,42.98249768,0,487.4036483,485.2352297,627.599525,142.3642953,627.1483494,142.0117938,0,142.8736394,142.8736394,0,5.288095179,4.863954203,5.365742784,0.501788581,5.141827452,8.06770329,8.05445121,9.173891912,1.119440702,8.224616059,8.064253217,7.695050719,11.74361698,4.04856626,11.55376508,4.297896787,4.137087569,4.438010625,0.300923056,4.33590462,7.294020411,6.151368114,7.876237625,1.724869512,6.72853591,7.045509908,7.04128758,8.348811096,1.307523516,7.26787651,3.06
