method,n_train,train_r2,test_r2,train_mae,test_mae,train_mse,test_mse
Baseline (No Augmentation),1557,0.929927909951298,0.7361338850282471,0.8748908408860534,1.8438569704559835,1.2827838688910638,5.374058375547429
VAE-KDE (with validation),2000,0.9300565963247669,0.7353400711869117,0.8525848079403566,1.8497539557736853,1.2335510003520087,5.390225672826621
